itemid,Category
300165176,34
1728769387,26
1737989981,3
720759034,3
1099171464,22
526460131,18
899379276,32
1381829216,18
1681799838,12
1817883872,26
1143845219,1
1103260888,4
1589222701,3
88531298,34
778682446,19
816247711,2
1432867100,19
363377076,5
1677873048,41
149841919,28
271780333,27
1060145507,5
740878512,42
1434028811,18
1637647781,37
1795484366,3
1061573661,35
1281447985,31
1675408874,2
1828676134,22
722669192,27
1690996425,19
916403417,31
76887959,28
1302952933,41
1424159069,18
1654175321,26
1587756662,1
1706380561,3
1555910315,26
1613450783,25
1764012249,27
1297387871,4
1110751379,27
1831929309,31
1833784286,32
1195364282,18
1405927013,25
1653813372,31
1785043281,19
1286150524,1
1387430922,32
1766558622,41
1771099316,4
569422569,27
953923453,22
1038979135,26
1748318895,26
161484742,35
1337434077,32
867752094,26
1659646501,3
1422898726,3
1678794222,25
1699076344,1
156525147,35
1063422654,35
1080990227,4
1210273279,3
1828630754,4
1392956675,3
1568355319,41
1683153094,3
216786890,3
1538395746,5
1506228401,1
1526746027,28
1804278574,26
1613469073,3
129341387,4
860770292,2
1623553691,41
1051924543,18
1611175464,1
1803213389,5
716906639,3
9828308,18
1532748517,41
1625697249,2
1705342406,18
1603170908,41
136709726,3
1539118906,32
1123432967,32
1283542778,1
1806856433,26
844869588,1
1270737217,27
1656230808,3
119158033,31
1773092160,5
606281783,25
818677469,4
1065554353,32
1201908514,35
1611373579,32
1353560133,26
1468253446,31
1532070632,35
1720121518,4
498188033,32
712834871,32
1413692694,3
1804376577,22
105632753,32
881304253,31
1587891338,26
1598071515,41
58891783,25
1190274128,32
433078339,3
663226539,1
1096108505,32
1442161663,41
1500217201,27
1679386586,35
1010296506,26
1704774793,31
908006420,25
1678673316,18
1691932222,35
1750727189,32
1283542769,4
1491528110,18
1555967820,3
1474336133,34
1784545484,35
1830963158,19
1269660779,42
621937169,41
1088882160,32
1378680990,41
1767245060,41
1443215661,34
1650466881,22
1667235494,3
1468960329,4
1646663999,41
1744012849,5
1444217672,19
1471724820,3
1506783157,3
1587408329,32
1746289355,32
1761437212,1
1653696475,3
909415189,3
1692980647,25
42427916,32
1272435383,3
1695168177,2
899567548,32
1574013778,32
867723924,25
1626011226,4
1812071388,34
1782862256,18
958284826,4
1523216071,19
1679302569,25
1163895702,31
1337434865,34
1682111890,32
1444158614,4
1494727995,42
1596082524,31
1054735462,26
1830779890,22
1556027027,26
1793736832,12
1506337703,22
1382997109,42
1591297635,18
1681897578,3
743339343,18
755628984,35
1815273299,3
1629015461,31
859892232,22
1766259048,5
881304700,31
1555801904,26
1682623737,1
1264150589,31
70260983,2
1191875926,32
1501722952,3
1392732467,35
1705806150,26
1377589762,26
1351620174,35
187630198,4
1159550778,25
1647508297,32
680627345,32
1448926633,35
1281426234,28
1392380904,26
486918338,41
61083231,41
490995068,18
1085563927,42
923321056,4
720742871,35
1294650135,2
1764032375,2
1822642385,41
1679247088,5
1704130641,19
1219370346,3
1680801706,31
1804035297,32
1016159755,34
1494033321,32
797147251,31
1075750743,35
79460088,22
1315242823,3
1600896555,41
941464136,32
961336253,4
1468228980,3
1715065608,22
1517045052,31
853513486,4
865963076,27
1321252348,31
1404531717,32
1613490129,32
1764902855,1
104466089,42
1773481485,22
408997314,18
1407640888,5
1599548487,35
1448924400,31
1704211287,25
1191226372,19
311464852,2
1525500167,2
1743322741,1
1454916052,32
1154571932,41
1284048562,22
1297295076,2
1528247612,27
1696589788,31
1699787854,32
1785705667,26
79515621,32
1710387847,25
508512039,3
622914256,32
1612051522,3
1740498682,4
344814299,25
1406542688,27
1745941771,3
1188084727,34
1549050980,42
79969185,1
1209089059,5
1603880736,31
1802544101,26
1616598385,32
433427520,4
1555834604,41
1054414044,25
1683538374,27
1018968947,26
1780086382,35
1779837980,31
635308254,12
1394751962,19
1602313774,3
1785516559,32
1022666180,22
1348017180,32
1396938591,35
1613351396,26
1192862868,41
1236396269,22
1736476122,18
652662510,27
1046549042,3
1303804552,1
1586976297,19
479247590,4
1522675247,26
104466938,3
526243576,4
644774785,26
1206717863,4
1214297293,26
1517515420,41
44701714,32
101059558,4
300165728,42
386495561,18
1634639369,42
1159460150,3
1704381782,5
1555743957,1
1748264632,3
1628343934,32
831619137,5
1659565196,26
1702518728,19
1019698044,35
65791554,32
107293786,26
181635073,32
314103313,25
362174816,32
514472444,27
620311243,3
669270230,35
683184848,31
693080681,1
739706040,26
838968685,19
844048962,32
902587612,12
908485331,31
942507845,42
966919037,3
1038731465,22
1152930102,3
1208283381,35
1285556755,5
1290908985,35
1400857891,25
1454916496,3
1548878609,19
1581114209,4
1589347066,4
1597459060,3
1630237983,42
1656759780,4
1701458492,32
1701540096,25
1723725483,18
1743129818,27
1757458937,7
1818941442,25
3000120,1
13488116,41
30986198,19
43354705,18
126416036,22
140513845,22
217344431,1
258080364,25
298900989,35
310107456,31
440966175,25
442743538,4
635255668,41
658496979,18
721952156,25
779637024,34
793833224,26
796526098,41
831278671,26
886838620,1
954352091,32
1263896320,25
1383998824,27
1392280204,1
1415030889,32
1424436821,3
1495031320,18
1522655562,4
1589394529,4
1615076301,25
1649458295,3
1668993143,3
1675990746,4
1696462229,18
1700519498,27
1702169607,32
1710450299,3
1736504749,3
1751373445,32
1778949076,4
1792181155,35
1806244213,25
41887329,31
106399985,1
108676592,41
117229776,31
161449239,3
454962815,31
472341941,18
529678336,31
602867228,19
646527750,19
907854848,32
910175163,3
983869386,41
1014016540,26
1018829967,35
1056532600,32
1092076170,3
1106201122,25
1171929832,28
1281030686,32
1323312875,25
1361913481,31
1390967121,31
1421790391,4
1478483229,32
1584928462,32
1599481418,5
1613447248,26
1625089242,4
1627278293,5
1650714110,22
1663738045,41
1699315841,25
1702266661,43
1716056462,26
1718828975,1
1734066374,1
1766527814,32
1780032671,26
1793043582,31
1828783760,1
1829004301,35
1831349059,26
74346836,3
77780672,26
87593952,37
173497771,31
341759926,3
374113519,27
404109783,26
455028297,41
658626112,5
734032487,32
735234814,4
779935977,32
808396753,37
1016550562,41
1042069424,22
1236026664,3
1266020031,4
1542079483,3
1551316182,1
1583376736,27
1587852794,3
1595312726,42
1603103849,4
1632657792,41
1641648784,42
1670002583,35
1688634303,27
1721049965,32
1743308519,3
1783330199,26
35240855,4
142710383,27
155105750,1
187596986,32
232247726,32
262235002,2
392727733,25
554213224,26
672931015,35
683242096,41
736582970,1
892255405,3
1118276967,4
1137412184,32
1351118943,2
1413783823,32
1414356399,31
1415115859,25
1535784293,31
1547486354,4
1569310542,32
1575168172,41
1681391308,26
1682797102,32
1701551726,31
1743327763,32
1748108667,4
1758868792,32
1759058491,26
1761434838,26
1766221667,32
1766812660,5
1791530830,35
1806219718,31
1823711685,41
3839203,32
8079495,31
37818537,32
71263868,1
75366662,42
120483058,25
128031000,3
129243098,18
145090684,18
171943630,26
206106276,1
395108596,3
637268495,4
664076071,35
670182030,3
699470839,41
719622856,26
796085294,4
807669089,34
963646790,3
966525526,32
1018843969,3
1092088914,26
1209045294,4
1261961274,7
1274108275,31
1299275144,2
1303175398,3
1350658462,32
1375490820,42
1438478687,3
1492420508,26
1545984211,3
1556164789,22
1589379706,3
1641682103,25
1703797220,5
1704096588,31
1704148704,12
1704314048,35
1704650398,32
1705499852,31
1711247848,4
1724361126,42
1785015958,32
1791113042,26
1805551748,26
1808800421,43
1817648423,3
12738770,25
33807131,31
52941837,18
116864627,3
183681306,31
205749937,4
266436648,3
286134212,35
451863378,32
521712308,26
592623191,32
623224603,34
672867489,32
703214383,4
768450347,26
793828197,12
1104393338,35
1140272217,1
1140507651,27
1179116296,26
1198297001,3
1313108712,22
1351071227,2
1376618940,27
1378684337,35
1402628849,31
1411564023,3
1429015987,26
1438873299,31
1485389968,4
1515348566,1
1563074277,1
1565415662,31
1608784466,5
1615067089,34
1620479172,32
1628259108,26
1636246728,32
1678744402,22
1782294626,31
3618396,27
15666001,31
38247949,32
61095569,31
106316667,32
240903578,35
268459431,41
280186122,42
322944913,31
495812597,35
575687727,4
686898113,42
723760576,5
777541366,25
812655366,35
899537086,41
958494427,32
1017996210,32
1019156435,4
1061156982,31
1244045725,4
1245363538,1
1266806038,31
1277055741,4
1285550310,31
1317885363,31
1346509651,22
1460985121,5
1549032165,31
1552022967,3
1554428638,31
1557980697,32
1606142272,34
1607883031,3
1623321008,3
1632612116,1
1702518814,26
1711236998,32
1738494475,25
1741409835,4
1743257933,27
1743272097,25
1751875075,7
1811491733,4
46367770,35
52458173,27
135708420,26
377177290,3
381795016,32
444500799,35
447567593,42
473466152,32
482515989,3
532385581,32
808072186,32
882514590,35
